"V1" "V2"
"1" -9 -9
"2" -8.66132314418087 -8.4593172265089
"3" -8.12318480358107 -8.01949883354202
"4" -7.69257202039904 -7.83126012993668
"5" -7.71409345402259 -7.92236581264888
"6" -7.57041041631882 -8.00128856412602
"7" -7.84053762271625 -7.94390869476516
"8" -8.26925911910432 -8.39055988430606
"9" -8.31872111904228 -8.36671119395736
"10" -8.49853293154503 -8.5866852099207
"11" -8.4718006478469 -9.21426858190503
"12" -8.61631677109923 -9.33298055122876
"13" -8.55371538951246 -9.48480783510052
"14" -8.45949496505105 -9.40300468767936
"15" -8.15441673640179 -9.12264811418793
"16" -8.09517946896139 -8.63801331428904
"17" -8.67539812082071 -9.06276305452716
"18" -8.80258881939388 -9.1489567906625
"19" -9.05364320948987 -9.28417706629517
"20" -8.69617099706637 -9.22337712495292
"21" -8.45042570828668 -9.01644693245994
"22" -8.24568344628637 -8.81202957093195
"23" -8.66822609416545 -9.1245788998561
"24" -8.64112540323327 -9.24791884679563
"25" -8.93892095530451 -9.69721330347088
"26" -9.07135537082064 -9.74364106167062
"27" -9.90813228725507 -10.2959771942994
"28" -9.61251847597145 -9.85799161461251
"29" -9.89910022186098 -10.1607299341742
"30" -9.81323581367923 -9.98521893194226
"31" -9.61325476329698 -9.7053371945353
"32" -9.68175901111332 -10.008324334335
"33" -9.46681218556066 -9.8297708442461
"34" -8.65265783203299 -9.01408427310018
"35" -8.33097259464427 -9.08594796009954
"36" -8.56613478795742 -9.25162587273251
"37" -8.49425715747317 -9.28269663948969
"38" -8.53236979981804 -8.72780232338226
"39" -8.7859734405003 -8.89320850197176
"40" -8.66699986517783 -8.77341582851382
"41" -8.48568833719052 -8.91736709928014
"42" -8.48954153710071 -8.95304138995669
"43" -8.45450830069651 -8.86709778232532
"44" -8.42443627137607 -8.7962030468554
"45" -8.67088905774387 -9.02656390021249
"46" -8.70927340704203 -8.96179942059291
"47" -8.0898045369321 -8.8353556704102
"48" -7.61830997769407 -8.38835647522029
"49" -8.05695062141242 -8.46364280746987
"50" -8.18074033075365 -8.41466594652887
"51" -8.76597342122146 -8.91492636043854
"52" -8.88819154696541 -9.01075350895522
"53" -8.42542333764911 -8.80357376587645
"54" -8.3184772733252 -8.73051412197798
"55" -8.52992251497871 -8.86558767526354
"56" -8.57420938034363 -9.07438150158526
"57" -8.87588544638616 -9.32342165587321
"58" -9.06396788474216 -9.06098965010374
"59" -8.83165632354717 -9.19258071103152
"60" -8.57381836238075 -8.73284979035124
"61" -8.81573481519451 -9.16584656528643
"62" -8.12315358486049 -8.3612231041364
"63" -8.16498930901895 -8.12657272134511
"64" -8.35865910243252 -8.22772911038389
"65" -8.48490839097288 -8.55755388695125
"66" -9.0624438067353 -8.82721289045023
"67" -8.8016012412412 -8.76716279798489
"68" -8.35486924905369 -8.5360666413466
"69" -8.50868044763094 -8.60125693876364
"70" -8.60904975731521 -8.86391813823723
"71" -8.57615193484972 -8.93157482543577
"72" -9.05510235344951 -9.18335215260895
"73" -8.92199847672209 -8.79699421221622
"74" -8.3997867710756 -8.37434376009714
"75" -8.17266807447325 -8.4235360351636
"76" -8.2729501011581 -8.38007019228307
"77" -7.86690882845244 -8.25697387490864
"78" -8.04604056652146 -8.12153580738924
"79" -7.84452283298993 -8.01894011904505
"80" -7.58826426453957 -7.9743200213346
"81" -7.73908200341414 -8.04359850005732
"82" -8.1886389308149 -8.37881538909117
"83" -8.13764765734607 -8.54896834860109
"84" -8.4345763296396 -8.72556620381447
"85" -7.92787391621434 -8.14883153020975
"86" -8.47831671850467 -8.71631995240695
"87" -8.79304604267217 -9.21790940174987
"88" -8.67890526221056 -9.3969629292013
"89" -8.53387164321051 -9.23540918164375
"90" -8.48065282463747 -9.36664491510215
"91" -8.25118956363844 -8.9330716651835
"92" -8.38544488444443 -9.0159933929097
"93" -8.27440860077958 -8.94454312842393
"94" -8.75618551039408 -9.05457827464259
"95" -8.43002365269311 -8.87378329191837
"96" -8.69048264066973 -8.91031027308446
"97" -8.86876804113769 -9.05118595317086
"98" -9.32246829910554 -8.99050130908679
"99" -9.64240224443425 -9.18176439319473
"100" -9.81878319221756 -9.64956207001726
"101" -9.30949337403897 -9.12961485707582
"102" -9.19851329815469 -8.99719849426655
"103" -8.5578702485537 -8.48256588861402
"104" -8.64979221444664 -8.74060543303891
"105" -8.84930780244393 -8.89766973556529
"106" -8.84480874365518 -8.95563389571387
"107" -8.65324758275475 -8.40234572870891
"108" -8.78316079357012 -8.46711916338626
"109" -8.58811111470686 -8.18473788030343
"110" -8.73756939528745 -8.17445164401449
"111" -9.04158835119954 -8.24770092133289
"112" -9.32910775370975 -8.68091821224286
"113" -9.41512920123261 -8.81800935893907
"114" -8.8409410841128 -8.4792014111252
"115" -9.01858395530897 -8.69383981915882
"116" -8.96486481581186 -8.91037243544663
"117" -8.85219209176885 -8.81981459966535
"118" -8.67415032042994 -8.5513082104038
"119" -8.95019524632567 -8.77995066209813
"120" -9.46814397318319 -9.20575857286068
"121" -9.02416146436814 -8.84423354034498
"122" -9.02835761798146 -8.93297004600868
"123" -9.02016338390486 -8.97954905572573
"124" -9.25079900764355 -9.0498003776161
"125" -9.35604897139023 -9.34683673659725
"126" -9.5518980440582 -9.29943125764768
"127" -9.75125301707021 -9.57311984426171
"128" -10.1973408911453 -10.0108219963712
"129" -9.71971803938951 -9.84449299041695
"130" -10.116667659606 -9.93468129524375
"131" -9.59085692162233 -9.84571945602543
"132" -9.32415204935176 -9.74068229430403
"133" -9.84990416510295 -10.4862227359275
"134" -9.65774462764745 -10.3078435650182
"135" -9.6740436703502 -10.312690948277
"136" -9.74456875084944 -10.1973911424035
"137" -9.50483674554981 -10.0131375755114
"138" -9.21000843087244 -9.81105366815185
"139" -9.03066984881243 -9.41260153667054
"140" -8.90591763619119 -9.20800375172181
"141" -8.90211935313364 -9.12067939983874
"142" -8.34123556245398 -8.87121684958788
